MSEC,ICOUNT,"COUNT DELTA",COUNT/MSEC,"TOTAL AMP","AVG AMP",VOLT,JOULE
2002.122,4971,88,3.795721187,57.9,14.475,11.4,15.30283104
2019.315,5033,62,3.606118769,57.9,14.475,11.5,11.44795905
2038.716,5106,73,3.762692645,57.9,14.475,11.5,12.91815585
2059.243,5183,77,3.751157013,57.3,14.325,11.5,13.52626665
2078.51,5255,72,3.736959568,57.3,14.325,11.5,12.69598965
2100.088,5337,82,3.800166837,57.3,14.325,11.6,14.34246504
2118.912,5408,71,3.771780705,55.5,13.875,11.6,12.1188912
2139.938,5487,79,3.757252925,55.5,13.875,11.5,13.4198445
2160.188,5563,76,3.75308642,55.5,13.875,11.5,12.9245625
2178.909,5635,72,3.8459484,55.5,13.875,11.5,11.94867825
2199.26,5713,78,3.832735492,53.7,13.425,11.5,12.56776005
2218.088,5784,71,3.770979392,53.7,13.425,11.6,11.72833776
2238.951,5863,79,3.78660787,54.2,13.55,11.6,13.11698536
2258.36,5937,74,3.812664228,54.2,13.55,11.6,12.20282648
2282.169,6029,92,3.86408501,54.2,13.55,11.6,14.96919448
2299.19,6094,65,3.818812056,54.2,13.55,11.7,10.79369694
2319.888,6176,82,3.961735433,52.5,13.125,11.7,12.7137465
2338.456,6247,71,3.823782852,52.5,13.125,11.7,11.405394
2360.545,6331,84,3.802797773,52.5,13.125,11.7,13.56816825
2379.478,6406,75,3.961337347,52.5,13.125,11.7,11.62959525
2400.106,6487,81,3.926701571,50.7,12.675,11.7,12.23632332
2418.788,6559,72,3.85397709,50.2,12.55,11.7,10.97268588
2439.379,6640,81,3.933757467,50.2,12.55,11.7,12.09391794
2459.924,6720,80,3.893891458,50.2,12.55,11.7,12.0669003
2482.239,6807,87,3.898722832,48.9,12.225,11.8,12.8762013
2499.388,6878,71,4.140183101,48.9,12.225,11.8,9.89531598
2520.122,6959,81,3.906626797,48.9,12.225,11.8,11.96393268
2539.436,7034,75,3.883193538,47,11.75,11.8,10.7115444
2558.281,7109,75,3.9798355,47,11.75,11.8,10.451437
2580.139,7196,87,3.980236069,47,11.75,11.8,12.1224468
