MSEC,ICOUNT,"COUNT DELTA",COUNT/MSEC,"TOTAL AMP","AVG AMP",VOLT,JOULES
1756.164,4117,85,3.747795414,85.6,14.26666667,10.8,20.9672064
1773.715,4184,67,3.817446299,85.6,14.26666667,10.9,16.37578504
1793.556,4259,75,3.780051409,83.9,13.98333333,10.9,18.14479291
1813.974,4339,80,3.91811147,81.7,13.61666667,10.8,18.01602648
1833.692,4416,77,3.905061365,81.7,13.61666667,10.9,17.55947054
1859.268,4513,97,3.792618079,79.8,13.3,10.9,22.24651632
1876.215,4580,67,3.953502095,79.8,13.3,11,14.8760766
1894.215,4650,70,3.888888889,79.8,13.3,11,15.8004
1914.843,4730,80,3.878223774,79.8,13.3,10.9,17.94264696
1933.486,4805,75,4.022957678,78.4,13.06666667,10.9,15.93156208
1954.348,4889,84,4.026459592,78.4,13.06666667,10.9,17.82783072
1973.714,4966,77,3.976040483,75.3,12.55,10.9,15.89503182
1993.671,5043,77,3.858295335,75.3,12.55,10.9,16.38010689
2013.43,5123,80,4.048787894,75.3,12.55,11,16.3663797
2033.565,5204,81,4.022845791,75.3,12.55,11,16.6778205
2055.507,5285,81,3.691550451,74.5,12.41666667,11.1,18.1449369
2134.098,5611,326,4.148057666,70.3,11.71666667,11.1,61.32691503
2153.514,5691,80,4.120313144,70.3,11.71666667,11.1,15.15088728
2174.247,5776,85,4.099744369,68.2,11.36666667,11.2,15.83669472
2194.905,5860,84,4.066221319,68.2,11.36666667,11.2,15.77940672
2213.747,5939,79,4.192760853,68.2,11.36666667,11.1,14.26377084
2233.982,6022,83,4.101803805,68.2,11.36666667,11.1,15.3182997
2254.535,6107,85,4.135649297,67,11.16666667,11.2,15.4229712
2274.319,6188,81,4.09421755,67,11.16666667,11.2,14.8459136
2297.18,6284,96,4.19929137,64.6,10.76666667,11.2,16.54039072
2313.692,6353,69,4.17877907,64.6,10.76666667,11.2,11.94676224
2333.916,6439,86,4.252373418,64.6,10.76666667,11.2,14.63246848
2357.975,6536,97,4.031755268,64.6,10.76666667,11.2,17.40716768
2374.066,6606,70,4.350257908,66.1,11.01666667,11.2,11.91248912
2399.534,6711,105,4.122820795,66.1,11.01666667,11.2,18.85446976
2414.776,6776,65,4.264532214,66.1,11.01666667,11.2,11.28395744
2433.968,6857,81,4.220508545,63.7,10.61666667,11.2,13.69234048
2454.06,6942,85,4.230539518,63.7,10.61666667,11.2,14.33443648
2474.245,7028,86,4.260589547,63.7,10.61666667,11.2,14.4007864
2495.35,7118,90,4.264392324,62.5,10.41666667,11.2,14.7735
2513.647,7197,79,4.317647702,62.5,10.41666667,11.2,12.8079
2533.741,7282,85,4.230118443,62.5,10.41666667,11.2,14.0658
2553.772,7368,86,4.293345315,60.9,10.15,11.2,13.66274448
2575.455,7462,94,4.33519347,60.9,10.15,11.2,14.78954064
2594.091,7541,79,4.239107105,60.9,10.15,11.2,12.71124288
2613.734,7627,86,4.378149977,60.9,10.15,11.3,13.51772331
2634.555,7717,90,4.322558955,59.2,9.866666667,11.3,13.92841616
2653.904,7800,83,4.289627371,59.2,9.866666667,11.3,12.94370704
2678.522,7906,106,4.30579251,59.8,9.966666667,11.3,16.63536732
2694.012,7973,67,4.325371207,59.5,9.916666667,11.3,10.4147015
2713.756,8060,87,4.406401945,59.5,9.916666667,11.3,13.2748784
2733.642,8147,87,4.374937142,59.5,9.916666667,11.3,13.3703521
2754.146,8235,88,4.291845494,58.1,9.683333333,11.3,13.46149112
2773.575,8321,86,4.426372948,58.1,9.683333333,11.4,12.86860386
2793.857,8411,90,4.437432206,58.1,9.683333333,11.4,13.43357988
2814.22,8499,88,4.32156362,58.1,9.683333333,11.4,13.48722942
2834.146,8586,87,4.366154773,55.9,9.316666667,11.3,12.58665642
2853.917,8674,88,4.450963532,55.9,9.316666667,11.4,12.59926746
2875.311,8767,93,4.347013181,55.4,9.233333333,11.4,13.51159464
2894.226,8851,84,4.440919905,55.4,9.233333333,11.4,11.9459574
2914.093,8939,88,4.429455882,55.4,9.233333333,11.4,12.54720252
2934.177,9028,89,4.43138817,55.4,9.233333333,11.4,12.68425104
2953.843,9114,86,4.373029594,54.4,9.066666667,11.4,12.19606656
2975.425,9208,94,4.35548142,54.4,9.066666667,11.4,13.38429312
2994.221,9291,83,4.415833156,54.1,9.016666667,11.4,11.59224504
3014.018,9379,88,4.445117947,54,9,11.4,12.1870332
3034.072,9467,88,4.38815199,54,9,11.4,12.3452424
3055.127,9560,93,4.417003087,54,9,11.4,12.961458
3076.528,9652,92,4.298864539,54,9,11.4,13.1744556
3155.22,10013,361,4.587505718,50.6,8.433333333,11.4,45.39269328
3174.107,10098,85,4.500450045,50.6,8.433333333,11.4,10.89477708
3193.756,10187,89,4.529492595,51,8.5,11.4,11.4239286
3219.728,10302,115,4.427845372,49.8,8.3,11.4,14.74482384
3233.445,10365,63,4.592841,49.8,8.3,11.4,7.78741524
3253.931,10458,93,4.539685639,52.7,8.783333333,11.4,12.30757908
3274.742,10551,93,4.468790543,50.9,8.483333333,11.4,12.07579086
3295.886,10644,93,4.398410897,50.9,8.483333333,11.5,12.3766404
3313.607,10725,81,4.570848146,50.9,8.483333333,11.5,10.37298735
3335.844,10826,101,4.541979584,51.1,8.516666667,11.4,12.95394198
3353.951,10908,82,4.528635334,51.1,8.516666667,11.5,10.64057855
3375.387,11003,95,4.431796977,51.1,8.516666667,11.4,12.48732744
3395.041,11092,89,4.528340287,49.7,8.283333333,11.4,11.13556332
3414.224,11182,90,4.691654069,49.7,8.283333333,11.4,10.86870414
3439.184,11293,111,4.447115385,49.7,8.283333333,11.6,14.3899392
3454.953,11366,73,4.629336039,46.6,7.766666667,11.5,8.4506071
3475.823,11461,95,4.5519885,46.6,7.766666667,11.4,11.0869788
3502.372,11581,120,4.519944254,46.6,7.766666667,11.6,14.35132744
3545.697,11767,186,4.293133295,47.2,7.866666667,11.5,23.51681
3550.771,11802,35,6.897910918,47.2,7.866666667,11.5,2.7541672
3574.759,11912,110,4.585626146,48.4,8.066666667,11.5,13.3517208
3605.137,12050,138,4.542761209,48.4,8.066666667,11.6,17.05542432
3619.509,12114,64,4.453103256,48.4,8.066666667,11.6,8.06901568
3635.515,12188,74,4.623266275,48.4,8.066666667,11.6,8.98640864
3653.843,12270,82,4.474028808,46.4,7.733333333,11.5,9.7798208
