MSEC,ICOUNT,"COUNT DELTA",COUNT/MSEC,"TOTAL AMP","AVG AMP",VOLT,JOULES
94.334,4,4,0.04936321453,13.9,3.475,12.3,13.85404104
117.567,7,3,0.1291266733,13.9,3.475,12.3,3.97214601
131.921,10,3,0.2090009753,13.9,3.475,11.9,2.37429514
152.402,14,4,0.1953029637,32.2,8.05,10.4,6.85867728
171.939,20,6,0.3071095869,32.2,8.05,9.7,6.10218658
191.91,26,6,0.3004356317,32.2,8.05,9.7,6.23774214
212.036,35,9,0.4471827487,133.2,33.3,8.8,23.59089216
232.424,45,10,0.4904845988,133.2,33.3,8.7,23.62642992
252.11,58,13,0.6603677741,133.2,33.3,8.8,23.07514176
272.224,71,13,0.6463159988,184.1,46.025,8.8,32.58628912
292.033,86,15,0.7572315614,184.1,46.025,8.8,32.09216472
312.384,102,16,0.7862021522,184.1,46.025,8.9,33.34490999
331.715,119,17,0.8794164813,171.2,42.8,9,29.7852048
352.259,137,18,0.8761682243,171.2,42.8,9.1,32.00590848
372.155,157,20,1.005227181,171.2,42.8,9.1,30.99637632
392.368,178,21,1.038935339,171.2,42.8,9.1,31.49023696
412.095,200,22,1.115222791,165,41.25,9.2,29.945586
431.943,224,24,1.209189843,165,41.25,9.2,30.129264
451.778,249,25,1.260398286,165,41.25,9.4,30.764085
472.194,275,26,1.273510972,151.5,37.875,9.4,29.0744256
491.576,302,27,1.393045093,151.5,37.875,9.4,27.6019062
511.967,330,28,1.373154823,151.5,37.875,9.5,29.34774675
550.886,389,59,1.515969064,144.2,36.05,9.5,53.3151381
572.62,423,34,1.564369191,144.2,36.05,9.5,29.7734066
593.99,457,34,1.591015442,136.1,34.025,9.5,27.6303415
612.547,488,31,1.670528641,136.1,34.025,9.8,24.75095546
631.863,522,34,1.760198799,136.1,34.025,9.8,25.76329448
651.799,558,36,1.805778491,126.5,31.625,9.8,24.7146592
672.365,596,38,1.847709812,126.5,31.625,9.9,25.7558301
692.403,634,38,1.896396846,126.5,31.625,9.9,25.0945893
712.538,671,37,1.837596225,126.5,31.625,9.9,25.21606725
732.439,710,39,1.959700518,118.3,29.575,9.9,23.30745417
752.468,751,41,2.047031804,118.3,29.575,10.1,23.93125007
772.056,791,40,2.042066571,110.1,27.525,10.1,21.78205188
792.553,835,44,2.146655608,110.1,27.525,10.1,22.79286897
812.823,878,43,2.121361618,110.1,27.525,10.2,22.7636154
832.56,920,42,2.127982976,110.1,27.525,10.2,22.16504574
852.017,964,44,2.261396927,104.7,26.175,10.2,20.77890858
872.336,1010,46,2.26389094,104.7,26.175,10.2,21.69947286
892.895,1056,46,2.237462912,104.7,26.175,10.2,21.95577846
912.154,1101,45,2.336569915,102.8,25.7,10.2,20.19421704
932.872,1151,50,2.413360363,100.9,25.225,10.3,21.53159586
952.592,1199,48,2.434077079,100.9,25.225,10.3,20.4944044
973.178,1248,49,2.380258428,93.1,23.275,10.4,19.93218864
991.774,1295,47,2.527425253,93.1,23.275,10.4,18.00539104
1012.452,1347,52,2.514749976,93.1,23.275,10.4,20.02126672
1032.843,1398,51,2.501103428,93.1,23.275,10.4,19.74338184
1054.378,1450,52,2.414673787,89.9,22.475,10.4,20.1343636
1132.799,1662,212,2.703357519,88.8,22.2,10.5,73.1197404
1151.931,1715,53,2.77022789,88.8,22.2,10.6,18.00856896
1172.392,1771,56,2.736914129,83.8,20.95,10.6,18.17509708
1192.343,1827,56,2.806876848,83.8,20.95,10.6,17.72207428
1212.467,1884,57,2.832438879,83.8,20.95,10.7,18.04438584
1231.714,1939,55,2.857588196,82.8,20.7,10.7,17.05207212
1252.171,1998,59,2.884098353,82.8,20.7,10.7,18.12408372
1272.764,2058,60,2.913611421,82.8,20.7,10.7,18.24457428
1291.94,2116,58,3.024614101,82.8,20.7,10.7,16.98916896
1311.917,2173,57,2.853281273,78.3,19.575,10.7,16.73693037
1331.834,2233,60,3.012501883,78.3,19.575,10.7,16.68666177
1351.717,2295,62,3.118241714,77.5,19.375,10.8,16.642071
1373.351,2361,66,3.050753444,77.5,19.375,10.8,18.107658
1392.081,2418,57,3.043246129,77.5,19.375,10.8,15.67701
1411.933,2478,60,3.022365505,77.5,19.375,10.9,16.769977
1431.907,2541,63,3.15410033,72.6,18.15,10.9,15.80622516
1452.496,2608,67,3.254164845,72.6,18.15,10.9,16.29289926
1472.004,2668,60,3.075661267,69.2,17.3,10.9,14.71449424
1491.993,2731,63,3.151733453,69.2,17.3,10.9,15.07730292
1512.005,2795,64,3.198081151,68.6,17.15,10.9,14.96377288
1531.867,2861,66,3.322928205,68.6,17.15,10.9,14.85161188
1552.117,2927,66,3.259259259,68,17,11,15.147
1572.006,2991,64,3.217859118,68,17,11,14.876972
1592.808,3060,69,3.316988751,68,17,11,15.559896
1612.777,3126,66,3.305122941,68,17,11,14.936812
1632.563,3191,65,3.285151117,64.1,16.025,10.9,13.82428034
1652.584,3259,68,3.396433745,64.1,16.025,10.9,13.98847249
1672.768,3328,69,3.418549346,63.7,15.925,11.1,14.27150088
1693.206,3398,70,3.424992661,63.7,15.925,11.1,14.45109666
1711.931,3461,63,3.364485981,63.7,15.925,11.1,13.23988575
1733.37,3534,73,3.405009562,63.7,15.925,11,15.0223073
1752.679,3601,67,3.46988451,60.5,15.125,11.1,12.96695895
1772.3,3669,68,3.465674532,60.5,15.125,11.1,13.17648255
1792.857,3739,70,3.405166123,59.1,14.775,11.1,13.48559757
1812.504,3808,69,3.511986563,58.9,14.725,11.2,12.96073296
1833.022,3881,73,3.557851642,58.9,14.725,11.2,13.53531424
1852.578,3949,68,3.4771937,58.9,14.725,11.2,12.90070208
1872.558,4019,70,3.503503504,57.8,14.45,11.2,12.9342528
1892.711,4090,71,3.523048678,57.8,14.45,11.2,13.04624608
1913.33,4162,72,3.491924924,57.8,14.45,11.2,13.34791584
1933.344,4234,72,3.597481763,57.7,14.425,11.2,12.93384736
1952.558,4306,72,3.747267617,57.7,14.425,11.2,12.41685536
1973.113,4381,75,3.648747263,57.7,14.425,11.2,13.2834632
1993.439,4454,73,3.591459215,56.2,14.05,11.2,12.79399744
2012.581,4525,71,3.709121304,53.7,13.425,11.2,11.51276448
2032.944,4601,76,3.73225949,53.7,13.425,11.2,12.24712272
2051.931,4670,69,3.634065413,53.7,13.425,11.3,11.52150147
2075.165,4750,80,3.44322975,53.6,13.4,11.2,13.94783488
2152.78,5047,297,3.826579914,51.9,12.975,11.3,45.51886905
2172.857,5123,76,3.785426109,51.9,12.975,11.3,11.77455819
2192.159,5195,72,3.730183401,51.9,12.975,11.3,11.32004394
2212.082,5271,76,3.814686543,50.9,12.725,11.4,11.56051998
2231.952,5347,76,3.8248616,50.9,12.725,11.3,11.4286279
2252.28,5424,77,3.787878788,50.7,12.675,11.3,11.64611448
2272.812,5503,79,3.847652445,50.7,12.675,11.4,11.86708536
2292.458,5579,76,3.868471954,50.7,12.675,11.4,11.35499508
2313.891,5662,83,3.87253301,50.7,12.675,11.4,12.38784534
2331.951,5732,70,3.875968992,48.6,12.15,11.4,10.0059624
2351.89,5811,79,3.962084357,48.6,12.15,11.4,11.04700356
2372.352,5889,78,3.811944091,47.3,11.825,11.4,11.03351964
2393.763,5972,83,3.876512073,47.3,11.825,11.4,11.54523942
